,content,campus life,drugs,alcohol,greek life,humor,pop culture,dating,sex,sexuality,race,ethnicity,profanity,question,announcement
0,to all the sweet freshman we met yesterday it gets better W just have fun you're doing great,98.12811017036438,1.0649802163243294,5.668910592794418,44.26878094673157,97.32571840286255,5.514094606041908,68.93836855888367,3.7003230303525925,13.69573175907135,6.22379370033741,8.707349747419357,32.42878019809723,79.98054027557373,98.2176423072815
1,Senior dorm storm was all fun and games until |... a senior... woke up in my freshman dorm,97.87509441375732,11.596100777387619,42.6850289106369,30.2549809217453,88.05897235870361,38.44321370124817,9.16571095585823,16.820724308490753,16.820384562015533,10.23525819182396,8.401618897914886,85.89759469032288,92.46775507926941,65.66416025161743
2,Honestly trying to hu with anyone on this campus as a POC is harder than an orgo test,96.44588232040405,1.2725992128252983,1.6892148181796074,0.27138867881149054,2.851456217467785,4.117182269692421,66.38651490211487,1.403332408517599,5.715731531381607,97.89782166481018,97.35065698623657,68.95672678947449,98.19627404212952,18.517914414405823
3,Tau being very insecure tonight,10.589919984340668,1.4849781058728695,25.3871351480484,32.60343670845032,56.964898109436035,15.133336186408997,54.318732023239136,3.8953009992837906,37.83322274684906,34.267255663871765,92.7202820777893,36.799755692481995,96.33554220199585,40.54790437221527
4,upvote if youre storming gatehouse tn,32.0723831653595,4.275102913379669,5.119436606764793,3.383401408791542,36.72865033149719,32.8887403011322,2.949884720146656,4.257507994771004,10.315249115228653,20.38145214319229,13.918030261993408,85.25878190994263,95.09086608886719,42.27285385131836
5,® Bspw starts today BB,80.44232726097107,8.175313472747803,35.274720191955566,11.323746293783188,50.8716881275177,74.01701211929321,41.665953397750854,15.480877459049225,24.539814889431,74.11519289016724,40.32936990261078,85.48792600631714,95.60024738311768,99.55347776412964
6,West 305 ur getting fucked. ®,77.2307813167572,11.357450485229492,0.48796762712299824,17.509280145168304,29.91507649421692,42.92251169681549,2.9973749071359634,99.92146492004395,99.37997460365295,75.30856728553772,61.792588233947754,99.06890392303467,92.46748089790344,97.5296139717102
7,Thank you so much to the seniors who stormed our dorm you guys were so nice,78.69039177894592,4.703056812286377,13.039477169513702,23.286709189414978,44.55214738845825,12.260277569293976,15.815232694149017,6.886254251003265,11.87860444188118,15.354759991168976,11.871594935655594,27.11929678916931,84.53508019447327,93.52270364761353
8,Underclassmwn r beat asffff,6.242286041378975,3.456590697169304,4.280237853527069,1.7289072275161743,24.727411568164825,2.6475008577108383,5.936674028635025,2.6485759764909744,4.333862662315369,91.39479994773865,30.2990585565567,99.50661659240723,91.34105443954468,37.00908720493317
9,1:30 am or pm,37.09650635719299,7.939013838768005,20.423704385757446,7.557934522628784,11.331753432750702,9.824436902999878,16.759176552295685,8.306558430194855,9.460727125406265,6.960693746805191,6.700065732002258,41.48020148277283,99.01082515716553,73.10692071914673
10,i wish seniors did a bar crawl like other schools but where tf would we even go,92.66932606697083,1.7197303473949432,94.14926171302795,6.681930273771286,39.808183908462524,49.45475161075592,8.954280614852905,7.763539254665375,24.689488112926483,12.880340218544006,9.137389063835144,63.93482685089111,99.11442399024963,23.123708367347717
11,When the guy likes the girl more>>>>>>>,1.0282199829816818,0.0437404029071331,0.1425481867045164,9.053808450698853,10.21314188838005,8.613747358322144,94.38644051551819,70.02003192901611,92.12036728858948,0.3462686203420162,0.28600513469427824,50.519055128097534,99.1101086139679,78.81727814674377
12,Ayo is frank gonna have rockbot during senior dinner,93.47090721130371,70.5845832824707,91.42615795135498,32.38535821437836,99.31700229644775,99.35092329978943,60.97874641418457,98.65460395812988,99.31520223617554,46.136295795440674,83.31109881401062,99.87896084785461,98.07499051094055,97.58298397064209
13,If I'm in your nightmares tonight I'll sleep like a baby,11.217132955789566,40.41086733341217,43.88759434223175,2.9927393421530724,30.119377374649048,9.995616227388382,30.148199200630188,39.901113510131836,42.410412430763245,20.851212739944458,15.538349747657776,97.02031016349792,96.91271781921387,58.48759412765503
14,Last! Chance! Due at midnight!,7.9485490918159485,3.40142622590065,11.27215102314949,2.1402738988399506,32.20728039741516,16.24591052532196,3.105132095515728,2.393399178981781,2.128339745104313,11.400288343429565,1.4307115226984024,84.26744937896729,82.32349157333374,99.17500615119934
15,rolllll tach in more ways than one,36.61637902259827,44.17339265346527,38.8593852519989,31.460779905319214,98.63197207450867,81.78194761276245,11.698633432388306,30.46589195728302,39.889347553253174,9.713515639305115,34.719160199165344,99.87351298332214,94.72855925559998,20.417875051498413
